dataset,source,raw_path,processed_path,raw_rows,raw_cols,leakage_cols_dropped,constant_cols_dropped,rows_after_filter,rows_after_subsample,final_rows,final_cols,target_col,n_classes_output,class_counts_output,binary_check,subsample_applied,seed,status,notes
phoneme,openml,/workspace/datasets/raw/openml/phoneme.parquet,/workspace/datasets/processed/openml/phoneme.parquet,5404,6,,,5404,5404,5404,6,Class,2,"{0: 3818, 1: 1586}",PASS,False,42,OK,"Target remap 1->0, 2->1 (minority=class 2, 29.35%)."
bank-marketing,openml,/workspace/datasets/raw/openml/bank_marketing.parquet,/workspace/datasets/processed/openml/bank-marketing.parquet,45211,17,V12,,45211,45211,45211,16,Class,2,"{0: 39922, 1: 5289}",PASS,False,42,OK,"Drop V12 (duration leakage). Target remap 1->0, 2->1."
MagicTelescope,openml,/workspace/datasets/raw/openml/magic_telescope.parquet,/workspace/datasets/processed/openml/MagicTelescope.parquet,19020,11,,,19020,19020,19020,11,class:,2,"{0: 12332, 1: 6688}",PASS,False,42,OK,Target string g/h -> 0/1.
churn,openml,/workspace/datasets/raw/openml/churn.parquet,/workspace/datasets/processed/openml/churn.parquet,5000,21,phone_number;total_day_charge;total_eve_charge;total_night_charge;total_intl_charge,,5000,5000,5000,16,class,2,"{0: 4293, 1: 707}",PASS,False,42,OK,"Drop phone_number (ID) and 4 charge cols (perfect linear duplicates of minutes cols, r=1.000, audit 2026-07-12)."
heloc,openml,/workspace/datasets/raw/openml/heloc.parquet,/workspace/datasets/processed/openml/heloc.parquet,10459,24,,,10459,10459,10459,24,RiskPerformance,2,"{1: 5459, 0: 5000}",PASS,False,42,OK,"Target Bad->1, Good->0. Sentinels -9/-8/-7 left intact (raw) — full sentinel decode is a D3-time concern, not preprocessing-time. 588 documented duplicate rows retained."
electricity,openml,/workspace/datasets/raw/openml/electricity.parquet,/workspace/datasets/processed/openml/electricity.parquet,45312,9,date,,45312,45312,45312,8,class,2,"{0: 26075, 1: 19237}",PASS,False,42,OK,"Drop date (temporal ID). Target DOWN->0, UP->1."
jm1,openml,/workspace/datasets/raw/openml/jm1.parquet,/workspace/datasets/processed/openml/jm1.parquet,10885,22,,,10885,10885,10885,22,defects,2,"{0: 8779, 1: 2106}",PASS,False,42,OK,"Target bool False->0, True->1. 2,061 duplicate rows retained (documented uniqueness defect)."
road-safety,openml,/workspace/datasets/raw/openml/road_safety.parquet,/workspace/datasets/processed/openml/road-safety.parquet,363243,67,Accident_Index;LSOA_of_Accident_Location,,343419,50000,50000,65,Sex_of_Driver,2,"{0: 34649, 1: 15351}",PASS,True,42,OK,"Filter target to Male/Female (drops 19,824 Unknown/3.0 — resolves the spot-check FAIL). Subsample 343,419->50,000 (seed=42) AFTER filtering."
kick,openml,/workspace/datasets/raw/openml/kick.parquet,/workspace/datasets/processed/openml/kick.parquet,72983,33,PurchDate,,72983,50000,50000,32,IsBadBuy,2,"{0: 43853, 1: 6147}",PASS,True,42,OK,"Subsample 72,983->50,000 (seed=42). PurchDate dropped at runtime (temporal)."
default_credit,uci,/workspace/datasets/raw/uci/default_credit.parquet,/workspace/datasets/processed/uci/default_credit.parquet,30000,24,,,30000,30000,30000,24,Y,2,"{0: 23364, 1: 6636}",PASS,False,42,OK,No transforms needed. Cleanest dataset in corpus.
online_shoppers,uci,/workspace/datasets/raw/uci/online_shoppers.parquet,/workspace/datasets/processed/uci/online_shoppers.parquet,12330,18,PageValues,,12330,12330,12330,17,Revenue,2,"{0: 10422, 1: 1908}",PASS,False,42,OK,"Drop PageValues (soft leakage: single-feature AUC=0.8633, audit 2026-07-12). Target bool False->0, True->1."
diabetes_readmission,uci,/workspace/datasets/raw/uci/diabetes_readmission.parquet,/workspace/datasets/processed/uci/diabetes_readmission.parquet,101766,48,nateglinide;chlorpropamide;acetohexamide;tolbutamide;acarbose;miglitol;troglitazone;tolazamide;examide;citoglipton;glyburide-metformin;glipizide-metformin;glimepiride-pioglitazone;metformin-rosiglitazone;metformin-pioglitazone,,101766,50000,50000,33,readmitted,2,"{0: 44413, 1: 5587}",PASS,True,42,OK,"Binarize: <30 days readmission=1, else=0 (resolves the spot-check FAIL — raw file has 3 label values NO/>30/<30). Drop 15 near-constant drug cols. Subsample 101,766->50,000 (seed=42) AFTER binarization."
ACSIncome,folktables,/workspace/datasets/raw/folktables/ACSIncome.parquet,/workspace/datasets/processed/folktables/ACSIncome.parquet,195665,11,,,195665,50000,50000,11,target,2,"{0: 29327, 1: 20673}",PASS,True,42,OK,"Target bool->int. Subsample 195,665->50,000 (seed=42)."
ACSPublicCoverage,folktables,/workspace/datasets/raw/folktables/ACSPublicCoverage.parquet,/workspace/datasets/processed/folktables/ACSPublicCoverage.parquet,138554,20,ST,,138554,50000,50000,19,target,2,"{0: 31570, 1: 18430}",PASS,True,42,OK,"Drop ST (constant). Target bool->int. Subsample 138,554->50,000 (seed=42)."
Airbnb,cleanml,/workspace/datasets/raw/cleanml/Airbnb_raw.parquet,/workspace/datasets/processed/cleanml/Airbnb.parquet,33145,40,,,33145,33145,33145,40,Rating,2,"{1: 22437, 0: 10708}",PASS,False,42,OK,"Target Y->1 (majority), N->0 (minority 32.31%). 23,766 NaN cells retained."
EEG,cleanml,/workspace/datasets/raw/cleanml/EEG_raw.parquet,/workspace/datasets/processed/cleanml/EEG.parquet,14980,15,,,14980,14980,14980,15,Eye,2,"{0: 8257, 1: 6723}",PASS,False,42,OK,No transforms needed. Temporal signal — blocked CV required in Phase 1 (not this script's concern).
assistments,tableshift,/workspace/datasets/raw/tableshift/assistments.parquet,/workspace/datasets/processed/tableshift/assistments.parquet,6123270,35,hint_count;bottom_hint;actions;attempt_count;ms_first_response;overlap_time;answer_id;answer_text;first_action;end_time;Average_confidence(FRUSTRATED);Average_confidence(CONFUSED);Average_confidence(CONCENTRATING);Average_confidence(BORED);user_id;problem_id;template_id;assistment_id;assignment_id;sequence_id;base_sequence_id;problem_log_id;problemlogid;start_time;tutor_mode,,6123270,25000,25000,10,correct,2,"{1: 16929, 0: 8071}",PASS,True,42,OK,"Binarize: correct==1->1, else->0 (resolves spot-check FAIL — raw file has 13 fractional partial-credit values). Drop 25 leakage/ID/constant cols, leaving 9 features. Subsample 6,123,270->25,000 (seed=42) AFTER binarization."
